Language,ISO 639-3 Code,Type
"<a href=""https://en.wikipedia.org/wiki/Aikan%C3%A3_language"" target=""_blank"">Aikanã</a>",tba,Living
"<a href=""https://en.wikipedia.org/wiki/West_Arawe_language"" target=""_blank"">Aiklep</a>",mwg,Living
"<a href=""https://en.wikipedia.org/wiki/Aimaq_dialect"" target=""_blank"">Aimaq</a>",aiq,Living
"<a href=""https://en.wikipedia.org/wiki/Aimele_language"" target=""_blank"">Aimele</a>",ail,Living
"<a href=""https://en.wikipedia.org/wiki/Aimol_language"" target=""_blank"">Aimol</a>",aim,Living
"<a href=""https://en.wikipedia.org/wiki/Ainbai_language"" target=""_blank"">Ainbai</a>",aic,Living
"<a href=""https://en.wikipedia.org/wiki/%C3%84ynu_language"" target=""_blank"">Ainu (China)</a>",aib,Living
"<a href=""https://en.wikipedia.org/wiki/Ainu_language"" target=""_blank"">Ainu (Japan)</a>",ain,Living
"<a href=""https://en.wikipedia.org/wiki/Aiome_language"" target=""_blank"">Aiome</a>",aki,Living
"<a href=""https://en.wikipedia.org/wiki/Airoran_language"" target=""_blank"">Airoran</a>",air,Living
"<a href=""https://en.wikipedia.org/wiki/Tai_Aiton_language"" target=""_blank"">Aiton</a>",aio,Living
"<a href=""https://en.wikipedia.org/wiki/Aja_language_(Niger%E2%80%93Congo)"" target=""_blank"">Aja (Benin)</a>",ajg,Living
"<a href=""https://en.wikipedia.org/wiki/Aja_language_(Nilo-Saharan)"" target=""_blank"">Aja (Sudan)</a>",aja,Living
"<a href=""https://en.wikipedia.org/wiki/Ajawa_language"" target=""_blank"">Ajawa</a>",ajw,Extinct
"<a href=""https://en.wikipedia.org/wiki/Aji%C3%AB_language"" target=""_blank"">Ajië</a>",aji,Living
"<a href=""https://en.wikipedia.org/wiki/Mbu%E2%80%99_language"" target=""_blank"">Ajumbu</a>",muc,Living
"<a href=""https://en.wikipedia.org/wiki/Axininca_language"" target=""_blank"">Ajyíninka Apurucayali</a>",cpc,Living
"<a href=""https://en.wikipedia.org/wiki/Ak_language"" target=""_blank"">Ak</a>",akq,Living
"<a href=""https://en.wikipedia.org/wiki/Sillok_language"" target=""_blank"">Aka</a>",soh,Living
"<a href=""https://en.wikipedia.org/wiki/Aka-Bea_language"" target=""_blank"">Aka-Bea</a>",abj,Extinct
"<a href=""https://en.wikipedia.org/wiki/Aka-Bo_language"" target=""_blank"">Aka-Bo</a>",akm,Extinct
"<a href=""https://en.wikipedia.org/wiki/Aka-Cari_language"" target=""_blank"">Aka-Cari</a>",aci,Extinct
"<a href=""https://en.wikipedia.org/wiki/Aka-Jeru_language"" target=""_blank"">Aka-Jeru</a>",akj,Extinct
"<a href=""https://en.wikipedia.org/wiki/Aka-Kede_language"" target=""_blank"">Aka-Kede</a>",akx,Extinct
"<a href=""https://en.wikipedia.org/wiki/Aka-Kol_language"" target=""_blank"">Aka-Kol</a>",aky,Extinct
"<a href=""https://en.wikipedia.org/wiki/Aka-Kora_language"" target=""_blank"">Aka-Kora</a>",ack,Extinct
"<a href=""https://en.wikipedia.org/wiki/Akan_language"" target=""_blank"">Akan</a>",aka,Living
"<a href=""https://en.wikipedia.org/wiki/Akar-Bale_language"" target=""_blank"">Akar-Bale</a>",acl,Extinct
"<a href=""https://en.wikipedia.org/wiki/Ntcham_language"" target=""_blank"">Akaselem</a>",aks,Living
"<a href=""https://en.wikipedia.org/wiki/Kap%C3%B3ng_language"" target=""_blank"">Akawaio</a>",ake,Living
"<a href=""https://en.wikipedia.org/wiki/Ake_language"" target=""_blank"">Ake</a>",aik,Living
"<a href=""https://en.wikipedia.org/wiki/Kebu_language"" target=""_blank"">Akebu</a>",keu,Living
"<a href=""https://en.wikipedia.org/wiki/Akei_language"" target=""_blank"">Akei</a>",tsr,Living
"<a href=""https://en.wikipedia.org/wiki/Akeu_language"" target=""_blank"">Akeu</a>",aeu,Living
"<a href=""https://en.wikipedia.org/wiki/Akha_language"" target=""_blank"">Akha</a>",ahk,Living
"<a href=""https://en.wikipedia.org/wiki/Akhvakh_language"" target=""_blank"">Akhvakh</a>",akv,Living
"<a href=""https://en.wikipedia.org/wiki/Akkadian_language"" target=""_blank"">Akkadian</a>",akk,Ancient
"<a href=""https://en.wikipedia.org/wiki/Akkala_Sami_language"" target=""_blank"">Akkala Sami</a>",sia,Extinct
"<a href=""https://en.wikipedia.org/wiki/Aklanon_language"" target=""_blank"">Aklanon</a>",akl,Living
"<a href=""https://en.wikipedia.org/wiki/Akolet_language"" target=""_blank"">Akolet</a>",akt,Living
"<a href=""https://en.wikipedia.org/wiki/Manenguba_language"" target=""_blank"">Akoose</a>",bss,Living
"<a href=""https://en.wikipedia.org/wiki/Akoye_language"" target=""_blank"">Akoye</a>",miw,Living
"<a href=""https://en.wikipedia.org/wiki/Yace_language"" target=""_blank"">Akpa</a>",akf,Living
"<a href=""https://en.wikipedia.org/wiki/Akpes_language"" target=""_blank"">Akpes</a>",ibe,Living
"<a href=""https://en.wikipedia.org/wiki/Akrukay_language"" target=""_blank"">Akrukay</a>",afi,Living
"<a href=""https://en.wikipedia.org/wiki/Akukem_language"" target=""_blank"">Akukem</a>",spm,Living
"<a href=""https://en.wikipedia.org/wiki/Akuku_language"" target=""_blank"">Akuku</a>",ayk,Living
"<a href=""https://en.wikipedia.org/wiki/Akum_language"" target=""_blank"">Akum</a>",aku,Living
